clip_name,hog_name,file
complex urban brutalism,directional perspective,..\outputs\heightmaps\complex_urban_brutalism__directional_perspective.png
complex urban brutalism,high-contrast edges,..\outputs\heightmaps\complex_urban_brutalism__high-contrast_edges.png
complex urban brutalism,multi-directional structure,..\outputs\heightmaps\complex_urban_brutalism__multi-directional_structure.png
complex urban brutalism,repetitive grid,..\outputs\heightmaps\complex_urban_brutalism__repetitive_grid.png
facade repetition,directional perspective,..\outputs\heightmaps\facade_repetition__directional_perspective.png
facade repetition,high-contrast edges,..\outputs\heightmaps\facade_repetition__high-contrast_edges.png
facade repetition,multi-directional structure,..\outputs\heightmaps\facade_repetition__multi-directional_structure.png
facade repetition,repetitive grid,..\outputs\heightmaps\facade_repetition__repetitive_grid.png
monolithic concrete mass,directional perspective,..\outputs\heightmaps\monolithic_concrete_mass__directional_perspective.png
monolithic concrete mass,high-contrast edges,..\outputs\heightmaps\monolithic_concrete_mass__high-contrast_edges.png
monolithic concrete mass,multi-directional structure,..\outputs\heightmaps\monolithic_concrete_mass__multi-directional_structure.png
monolithic concrete mass,repetitive grid,..\outputs\heightmaps\monolithic_concrete_mass__repetitive_grid.png
open structural frame,directional perspective,..\outputs\heightmaps\open_structural_frame__directional_perspective.png
open structural frame,high-contrast edges,..\outputs\heightmaps\open_structural_frame__high-contrast_edges.png
open structural frame,multi-directional structure,..\outputs\heightmaps\open_structural_frame__multi-directional_structure.png
open structural frame,repetitive grid,..\outputs\heightmaps\open_structural_frame__repetitive_grid.png
